,stop_name,Train 400 (PENN - WASHINGTON),Train 403 (PENN - WASHINGTON),Train 404 (PENN - WASHINGTON),Train 407 (PENN - WASHINGTON),Train 408 (PENN - WASHINGTON),Train 409 (PENN - WASHINGTON),Train 410 (PENN - WASHINGTON),Train 412 (PENN - WASHINGTON),Train 413 (PENN - WASHINGTON),Train 414 (PENN - WASHINGTON),Train 415 (PENN - WASHINGTON),Train 416 (PENN - WASHINGTON),Train 418 (PENN - WASHINGTON),Train 419 (PENN - WASHINGTON),Train 421 (PENN - WASHINGTON),Train 422 (PENN - WASHINGTON),Train 423 (PENN - WASHINGTON),Train 424 (PENN - WASHINGTON),Train 426 (PENN - WASHINGTON),Train 427 (PENN - WASHINGTON),Train 428 (PENN - WASHINGTON),Train 429 (PENN - WASHINGTON),Train 430 (PENN - WASHINGTON),Train 431 (PENN - WASHINGTON),Train 433 (PENN - WASHINGTON),Train 435 (PENN - WASHINGTON),Train 438 (PENN - WASHINGTON),Train 439 (PENN - WASHINGTON),Train 440 (PENN - WASHINGTON),Train 443 (PENN - WASHINGTON),Train 445 (PENN - WASHINGTON),Train 446 (PENN - WASHINGTON),Train 447 (PENN - WASHINGTON),Train 448 (PENN - WASHINGTON),Train 449 (PENN - WASHINGTON),Train 451 (PENN - WASHINGTON),Train 452 (PENN - WASHINGTON),Train 453 (PENN - WASHINGTON),Train 502 (PENN - WASHINGTON),Train 505 (PENN - WASHINGTON),Train 511 (PENN - WASHINGTON),Train 517 (PENN - WASHINGTON),Train 520 (PENN - WASHINGTON),Train 525 (PENN - WASHINGTON),Train 532 (PENN - WASHINGTON),Train 536 (PENN - WASHINGTON),Train 537 (PENN - WASHINGTON),Train 544 (PENN - WASHINGTON),Train 548 (PENN - WASHINGTON),Train 554 (PENN - WASHINGTON),Train 579 (PENN - WASHINGTON),Train 610 (PENN - WASHINGTON),Train 612 (PENN - WASHINGTON),Train 613 (PENN - WASHINGTON),Train 634 (PENN - WASHINGTON),Train 641 (PENN - WASHINGTON),Train 642 (PENN - WASHINGTON),Train 840 (CAMDEN - WASHINGTON),Train 841 (CAMDEN - WASHINGTON),Train 842 (CAMDEN - WASHINGTON),Train 843 (CAMDEN - WASHINGTON),Train 844 (CAMDEN - WASHINGTON),Train 845 (CAMDEN - WASHINGTON),Train 846 (CAMDEN - WASHINGTON),Train 847 (CAMDEN - WASHINGTON),Train 848 (CAMDEN - WASHINGTON),Train 849 (CAMDEN - WASHINGTON),Train 850 (CAMDEN - WASHINGTON),Train 851 (CAMDEN - WASHINGTON),Train 852 (CAMDEN - WASHINGTON),Train 853 (CAMDEN - WASHINGTON),Train 854 (CAMDEN - WASHINGTON),Train 855 (CAMDEN - WASHINGTON),Train 856 (CAMDEN - WASHINGTON),Train 857 (CAMDEN - WASHINGTON),Train 858 (CAMDEN - WASHINGTON),Train 859 (CAMDEN - WASHINGTON),Train 860 (CAMDEN - WASHINGTON),Train 870 (BRUNSWICK - WASHINGTON),Train 871 (BRUNSWICK - WASHINGTON),Train 872 (BRUNSWICK - WASHINGTON),Train 873 (BRUNSWICK - WASHINGTON),Train 874 (BRUNSWICK - WASHINGTON),Train 875 (BRUNSWICK - WASHINGTON),Train 876 (BRUNSWICK - WASHINGTON),Train 877 (BRUNSWICK - WASHINGTON),Train 878 (BRUNSWICK - WASHINGTON),Train 879 (BRUNSWICK - WASHINGTON),Train 880 (BRUNSWICK - WASHINGTON),Train 881 (BRUNSWICK - WASHINGTON),Train 883 (BRUNSWICK - WASHINGTON),Train 890 (BRUNSWICK - WASHINGTON),Train 891 (BRUNSWICK - WASHINGTON),Train 892 (BRUNSWICK - WASHINGTON),Train 893 (BRUNSWICK - WASHINGTON),Train 894 (BRUNSWICK - WASHINGTON),Train 895 (BRUNSWICK - WASHINGTON)
37,ABERDEEN MARC sb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:33:00 (1),05:23:00 (1),06:38:00 (1),,08:53:00 (1),,,14:42:00 (1),,,,18:33:00 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,EDGEWOOD MARC sb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:43:00 (2),05:34:00 (2),06:48:00 (2),,09:02:00 (2),,,14:51:00 (2),,,,18:43:00 (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,MARTIN AIRPORT MARC sb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:55:00 (3),05:48:00 (3),07:00:00 (3),,09:15:00 (3),,,15:02:00 (3),,,,18:55:00 (3),,,05:30:00 (0),,15:35:00 (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PENN STATION MARC sb,,05:00:00 (0),,05:45:00 (0),,06:30:00 (0),,,06:45:00 (0),,07:00:00 (0),,,07:53:00 (0),08:15:00 (0),,08:55:00 (0),,,10:25:00 (0),,11:35:00 (0),,12:35:00 (0),13:35:00 (0),14:45:00 (0),,15:45:00 (0),,16:52:00 (0),17:30:00 (0),,18:10:00 (0),,18:40:00 (0),19:35:00 (0),,21:35:00 (0),,05:15:00 (4),06:08:00 (4),07:20:00 (4),,09:30:00 (4),,,15:28:00 (4),,,,19:08:00 (4),,,05:46:00 (1),,16:08:00 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,WEST BALTIMORE MARC sb,,05:09:00 (1),,05:53:00 (1),,,,,06:53:00 (1),,07:08:00 (1),,,08:01:00 (1),08:23:00 (1),,09:03:00 (1),,,10:32:00 (1),,11:42:00 (1),,12:42:00 (1),13:42:00 (1),14:52:00 (1),,15:52:00 (1),,,17:36:00 (1),,,,,,,21:42:00 (1),,05:23:00 (5),06:18:00 (5),07:28:00 (5),,09:37:00 (5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,HALETHORPE MARC sb,,05:16:00 (2),,05:59:00 (2),,06:41:00 (1),,,07:00:00 (2),,07:15:00 (2),,,08:08:00 (2),08:30:00 (2),,09:10:00 (2),,,10:38:00 (2),,11:48:00 (2),,12:48:00 (2),13:48:00 (2),14:58:00 (2),,15:58:00 (2),,,17:41:00 (2),,,,,,,21:48:00 (2),,05:30:00 (6),,07:35:00 (6),,09:43:00 (6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,BWI RAIL STATION MARC sb,,05:23:00 (3),,06:05:00 (3),,06:48:00 (2),,,07:07:00 (3),,07:22:00 (3),,,08:15:00 (3),08:37:00 (3),,09:17:00 (3),,,10:45:00 (3),,11:55:00 (3),,12:55:00 (3),13:55:00 (3),15:05:00 (3),,16:05:00 (3),,17:06:00 (1),17:46:00 (3),,18:24:00 (1),,18:54:00 (1),19:49:00 (1),,21:55:00 (3),,05:37:00 (7),06:29:00 (6),07:42:00 (7),,09:50:00 (7),,,15:42:00 (5),,,,,,,,,16:23:00 (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,ODENTON MARC sb,,05:29:00 (4),,06:12:00 (4),,06:55:00 (3),,,07:14:00 (4),,07:29:00 (4),,,08:22:00 (4),08:44:00 (4),,09:24:00 (4),,,10:52:00 (4),,12:02:00 (4),,13:02:00 (4),14:02:00 (4),15:12:00 (4),,16:12:00 (4),,17:13:00 (2),17:53:00 (4),,,,19:01:00 (2),19:56:00 (2),,22:02:00 (4),,05:44:00 (8),06:36:00 (7),07:49:00 (8),,09:57:00 (8),,,,,,,,,,,,16:30:00 (3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,BOWIE STATE MARC sb,,05:36:00 (5),,06:19:00 (5),,07:02:00 (4),,,07:21:00 (5),,07:36:00 (5),,,08:29:00 (5),08:51:00 (5),,09:31:00 (5),,,10:58:00 (5),,12:08:00 (5),,13:08:00 (5),14:08:00 (5),15:18:00 (5),,16:18:00 (5),,17:19:00 (3),18:00:00 (5),,,,19:07:00 (3),20:02:00 (3),,22:08:00 (5),,05:51:00 (9),,,,10:03:00 (9),,,,,,,,,,,,16:36:00 (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,SEABROOK MARC sb,,05:42:00 (6),,06:25:00 (6),,07:08:00 (5),,,07:27:00 (6),,07:42:00 (6),,,08:35:00 (6),08:57:00 (6),,09:37:00 (6),,,11:04:00 (6),,12:14:00 (6),,13:14:00 (6),,,,16:24:00 (6),,17:25:00 (4),18:06:00 (6),,,,,,,22:14:00 (6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,NEW CARROLLTON MARC sb,,05:48:00 (7),,06:31:00 (7),,07:14:00 (6),,,07:33:00 (7),,07:48:00 (7),,,08:41:00 (7),09:03:00 (7),,09:41:00 (7),,,11:08:00 (7),,12:18:00 (7),,13:18:00 (7),14:16:00 (6),15:26:00 (6),,16:28:00 (7),,17:29:00 (5),18:10:00 (7),,18:43:00 (2),,19:19:00 (4),20:10:00 (4),,22:18:00 (7),,06:01:00 (10),06:47:00 (8),08:00:00 (9),,10:11:00 (10),,,16:02:00 (6),,,,,,,,,16:44:00 (5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,NEW CARROLLTON MARC nb,05:52:00 (1),,06:47:00 (1),,,,07:32:00 (1),09:12:00 (1),,09:57:00 (1),,10:27:00 (1),11:27:00 (1),,,13:32:00 (1),,14:32:00 (1),15:22:00 (1),,16:42:00 (1),,16:32:00 (1),,,,17:32:00 (1),,17:47:00 (1),,,19:17:00 (1),,20:16:00 (1),,,23:07:00 (1),,06:32:00 (2),,,,12:27:00 (1),,16:22:00 (1),,,18:32:00 (1),21:22:00 (1),,,,08:32:00 (1),,,,18:12:00 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,SEABROOK MARC nb,05:56:00 (2),,,,,,07:36:00 (2),09:16:00 (2),,,,10:31:00 (2),11:31:00 (2),,,13:36:00 (2),,14:36:00 (2),15:26:00 (2),,16:46:00 (2),,,,,,,,17:51:00 (2),,,19:21:00 (2),,20:20:00 (2),,,23:11:00 (2),,06:36:00 (3),,,,12:31:00 (2),,,,,18:36:00 (2),21:26:00 (2),,,,08:36:00 (2),,,,18:16:00 (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,BOWIE STATE MARC nb,06:02:00 (3),,,,,,07:42:00 (3),09:22:00 (3),,,,10:37:00 (3),11:37:00 (3),,,13:42:00 (3),,14:42:00 (3),15:32:00 (3),,16:53:00 (3),,,,,,,,17:58:00 (3),,,19:27:00 (3),,20:26:00 (3),,,23:17:00 (3),,06:42:00 (4),,,,12:37:00 (3),,,,,18:42:00 (3),21:32:00 (3),,,08:13:00 (1),08:42:00 (3),,17:07:00 (1),,18:23:00 (3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,ODENTON MARC nb,06:08:00 (4),,07:01:00 (2),,,,07:48:00 (4),09:28:00 (4),,10:10:00 (2),,10:43:00 (4),11:43:00 (4),,,13:48:00 (4),,14:48:00 (4),15:38:00 (4),,16:59:00 (4),,,,,,17:46:00 (2),,18:06:00 (4),,,19:33:00 (4),,20:32:00 (4),,,23:23:00 (4),,06:48:00 (5),,,,12:43:00 (4),,16:38:00 (2),,,18:48:00 (4),21:38:00 (4),,,08:19:00 (2),08:48:00 (4),,17:15:00 (2),,18:32:00 (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,BWI RAIL STATION MARC nb,06:15:00 (5),,07:08:00 (3),,,,07:55:00 (5),09:35:00 (5),,10:17:00 (3),,10:50:00 (5),11:50:00 (5),,,13:56:00 (5),,14:55:00 (5),15:47:00 (5),,17:07:00 (5),,16:54:00 (2),,,,,,18:15:00 (5),,,19:41:00 (5),,20:41:00 (5),,,23:30:00 (5),,06:59:00 (6),,,,12:50:00 (5),,,17:45:00 (1),,18:57:00 (5),21:47:00 (5),,,08:30:00 (3),08:55:00 (5),,,,18:42:00 (5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,HALETHORPE MARC nb,,,,,,,08:01:00 (6),,,10:23:00 (4),,10:56:00 (6),11:56:00 (6),,,14:02:00 (6),,15:01:00 (6),15:56:00 (6),,,,17:00:00 (3),,,,17:58:00 (3),,18:21:00 (6),,,19:47:00 (6),,20:47:00 (6),,,23:36:00 (6),,07:07:00 (7),,,,12:56:00 (6),,,,,19:03:00 (6),21:53:00 (6),,,08:36:00 (4),09:01:00 (6),,,,18:48:00 (6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,WEST BALTIMORE MARC nb,06:29:00 (6),,,,,,08:07:00 (7),,,10:29:00 (5),,11:02:00 (7),12:02:00 (7),,,14:08:00 (7),,15:07:00 (7),16:03:00 (7),,,,17:07:00 (4),,,,18:04:00 (4),,18:28:00 (7),,,19:53:00 (7),,20:53:00 (7),,,23:42:00 (7),,07:14:00 (8),,,,13:02:00 (7),,,,,19:12:00 (7),21:59:00 (7),,,08:42:00 (5),09:06:00 (7),,17:31:00 (3),,18:56:00 (7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PENN STATION MARC nb,06:43:00 (7),,07:27:00 (4),,07:46:00 (1),,08:21:00 (8),09:56:00 (6),,10:42:00 (6),,11:13:00 (8),12:16:00 (8),,,14:23:00 (8),,15:21:00 (8),16:17:00 (8),,17:27:00 (6),,17:17:00 (5),,,,18:19:00 (5),,18:41:00 (8),,,20:05:00 (8),,21:05:00 (8),,,23:56:00 (8),,07:27:00 (9),,,,13:18:00 (8),,17:01:00 (3),18:04:00 (2),,19:21:00 (8),22:10:00 (8),05:25:00 (0),,08:56:00 (6),09:19:00 (8),,17:41:00 (4),,19:09:00 (8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,MARTIN AIRPORT MARC nb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:38:00 (10),,,,13:30:00 (9),,17:14:00 (4),18:17:00 (3),,19:40:00 (9),22:20:00 (9),,,09:27:00 (7),09:40:00 (9),,18:02:00 (5),,19:30:00 (9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,EDGEWOOD MARC nb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:04:00 (11),,,,13:47:00 (10),,17:27:00 (5),18:30:00 (4),,19:55:00 (10),22:37:00 (10),05:51:00 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,ABERDEEN MARC nb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:12:00 (12),,,,13:55:00 (11),,17:37:00 (6),18:40:00 (5),,20:03:00 (11),22:45:00 (11),05:59:00 (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,CAMDEN STATION MARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:43:00 (8),05:00:00 (0),08:12:00 (8),05:30:00 (0),08:48:00 (8),06:10:00 (0),09:08:00 (8),06:30:00 (0),,07:10:00 (0),17:25:00 (6),08:05:00 (0),18:00:00 (9),15:40:00 (0),18:41:00 (10),,19:13:00 (6),17:20:00 (0),20:03:00 (9),18:15:00 (0),20:55:00 (8),,,,,,,,,,,,,,,,,,,
60,ST DENIS MARC sb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:11:00 (1),,,,,,06:42:00 (1),,,,08:17:00 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,DORSEY MARC sb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:18:00 (2),,05:48:00 (1),,06:27:00 (1),,06:50:00 (2),,07:29:00 (1),,08:24:00 (2),,15:58:00 (1),,16:45:00 (0),,17:37:00 (1),,18:34:00 (1),,,,,,,,,,,,,,,,,,,,
62,JESSUP MARC sb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:53:00 (3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,SAVAGE MARC sb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:24:00 (3),,05:54:00 (2),,06:33:00 (2),,06:57:00 (4),,07:35:00 (2),,08:31:00 (3),,16:04:00 (2),,16:51:00 (1),,17:43:00 (2),,18:40:00 (2),,,,,,,,,,,,,,,,,,,,
64,LAUREL RACETRACK MARC sb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:09:00 (3),,,,17:48:00 (3),,18:44:00 (3),,,,,,,,,,,,,,,,,,,,
65,LAUREL MARC sb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:28:00 (4),,05:59:00 (3),,06:38:00 (3),,07:01:00 (5),,07:40:00 (3),,08:36:00 (4),,16:10:00 (4),,16:56:00 (2),,17:49:00 (4),,18:46:00 (4),,,,,,,,,,,,,,,,,,,,
66,MUIRKIRK MARC sb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:33:00 (5),,06:04:00 (4),,06:43:00 (4),,07:06:00 (6),,07:45:00 (4),,08:41:00 (5),,16:15:00 (5),,17:01:00 (3),,17:53:00 (5),,18:50:00 (5),,,,,,,,,,,,,,,,,,,,
67,GREENBELT MARC sb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:39:00 (6),,,,06:49:00 (5),,07:11:00 (7),,,,08:46:00 (6),,16:21:00 (6),,,,17:59:00 (6),,18:56:00 (6),,,,,,,,,,,,,,,,,,,,
68,COLLEGE PARK MARC sb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:43:00 (7),,,,06:55:00 (6),,07:15:00 (8),,07:52:00 (5),,08:50:00 (7),,16:25:00 (7),,17:08:00 (4),,18:03:00 (7),,19:00:00 (7),,,,,,,,,,,,,,,,,,,,
69,RIVERDALE MARC sb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:45:00 (8),,,,06:57:00 (7),,07:17:00 (9),,,,08:52:00 (8),,16:27:00 (8),,,,18:05:00 (8),,19:02:00 (8),,,,,,,,,,,,,,,,,,,,
70,RIVERDALE MARC nb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:41:00 (1),,07:09:00 (1),,07:49:00 (1),,08:09:00 (1),,15:39:00 (1),,,,16:52:00 (1),,17:32:00 (1),,,,19:04:00 (1),,19:54:00 (1),,,,,,,,,,,,,,,,,,,
71,COLLEGE PARK MARC nb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:44:00 (2),,07:12:00 (2),,07:52:00 (2),,08:12:00 (2),,15:42:00 (2),,16:24:00 (1),,16:55:00 (2),,17:34:00 (2),,18:08:00 (1),,19:06:00 (2),,19:57:00 (2),,,,,,,,,,,,,,,,,,,
72,GREENBELT MARC nb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:48:00 (3),,07:16:00 (3),,07:56:00 (3),,08:16:00 (3),,15:45:00 (3),,,,16:59:00 (3),,17:39:00 (3),,,,19:10:00 (3),,20:01:00 (3),,,,,,,,,,,,,,,,,,,
73,MUIRKIRK MARC nb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:54:00 (4),,07:22:00 (4),,08:01:00 (4),,08:21:00 (4),,15:51:00 (4),,16:32:00 (2),,17:05:00 (4),,17:45:00 (4),,18:17:00 (2),,19:15:00 (4),,20:07:00 (4),,,,,,,,,,,,,,,,,,,
74,LAUREL MARC nb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:00:00 (5),,07:28:00 (5),,08:08:00 (5),,08:27:00 (5),,15:57:00 (5),,16:37:00 (3),,17:11:00 (5),,17:50:00 (5),,18:23:00 (3),,19:21:00 (5),,20:13:00 (5),,,,,,,,,,,,,,,,,,,
75,SAVAGE MARC nb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:05:00 (6),,07:34:00 (6),,08:13:00 (6),,08:34:00 (6),,16:02:00 (6),,16:43:00 (4),,17:17:00 (6),,17:56:00 (6),,18:29:00 (4),,19:26:00 (6),,20:18:00 (6),,,,,,,,,,,,,,,,,,,
76,JESSUP MARC nb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17:59:00 (7),,,,,,,,,,,,,,,,,,,,,,,,,
77,DORSEY MARC nb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:11:00 (7),,07:39:00 (7),,08:18:00 (7),,08:40:00 (7),,16:20:00 (7),,16:49:00 (5),,17:23:00 (7),,18:04:00 (8),,18:35:00 (5),,19:32:00 (7),,20:24:00 (7),,,,,,,,,,,,,,,,,,,
78,ST DENIS MARC nb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17:31:00 (8),,18:13:00 (9),,,,19:39:00 (8),,,,,,,,,,,,,,,,,,,,,
