,stop_name,2 (Vancouver - Toronto),5 (Jasper - Prince Rupert),6 (Jasper - Prince Rupert),14 (Montréal - Halifax),15 (Montréal - Halifax),20 (Québec - Montréal),22 (Québec - Fallowfield),24 (Québec - Fallowfield),26 (Ottawa - Québec),28 (Ottawa - Québec),29 (Québec - Montréal),31 (Ottawa - Montréal),33 (Ottawa - Québec),35 (Ottawa - Québec),37 (Québec - Fallowfield),38 (Ottawa - Montréal),39 (Québec - Fallowfield),40 (Ottawa - Toronto),41 (Ottawa - Toronto),42 (Ottawa - Toronto),43 (Ottawa - Toronto),44 (Ottawa - Toronto),45 (Ottawa - Toronto),46 (Ottawa - Toronto),47 (Ottawa - Toronto),48 (Ottawa - Toronto),50 (Ottawa - Toronto),52 (Ottawa - Toronto),53 (Ottawa - Toronto),54 (Ottawa - Toronto),55 (Ottawa - Toronto),59 (Ottawa - Toronto),60 (Montréal - Toronto),61 (Montréal - Toronto),62 (Montréal - Toronto),63 (Montréal - Toronto),64 (Montréal - Toronto),65 (Montréal - Toronto),66 (Montréal - Toronto),67 (Montréal - Toronto),68 (Montréal - Toronto),69 (Montréal - Toronto),70 (Toronto - Windsor),71 (Toronto - Windsor),72 (Toronto - Windsor),73 (Toronto - Windsor),75 (Toronto - Windsor),76 (Toronto - Windsor),78 (Toronto - Windsor),79 (Toronto - Windsor),82 (Toronto - London),83 (Toronto - London),84 (Toronto - Sarnia),87 (Toronto - Sarnia),186 (Sudbury - White River),601 (Montréal - Jonquière),603 (Montréal - Senneterre),643 (Ottawa - Toronto),644 (Ottawa - Toronto),645 (Ottawa - Toronto),646 (Ottawa - Toronto),647 (Ottawa - Toronto),650 (Toronto - Kingston),651 (Toronto - Kingston),668 (Montréal - Toronto),669 (Montréal - Toronto),691 (The Pas - Churchill),nan (Air Connect),97-64 (Toronto - New York),98-63 (Toronto - New York)
255,South Parry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Kitwanga,,43:27:00 (26),14:48:00 (9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Hornepayne,90:39:00 (53),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Harvey,,14:38:00 (2),40:24:00 (33),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Laforest,97:33:00 (62),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,Ilford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22:36:00 (36),,,
261,Paterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Monet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:33:00 (46),,,,,,,,,,,,,
263,Caribou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:56:00 (31),,,,,,,,,,,,,,
264,Pacific,,44:21:00 (29),14:07:00 (6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Valemount,34:01:00 (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,Edson,41:19:00 (13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,Lac-aux-Perles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:11:00 (25),,,,,,,,,,,,,,
268,Melville,62:57:00 (22),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:00:00 (27),,,
270,Drummondville,,,,20:14:00 (4),32:26:00 (25),07:45:00 (4),09:46:00 (9),13:56:00 (8),18:07:00 (8),19:54:00 (9),19:44:00 (3),,07:30:00 (4),10:17:00 (4),14:46:00 (3),,17:00:00 (3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,Saint-Hyacinthe,,,,19:28:00 (3),33:05:00 (26),07:08:00 (3),09:17:00 (8),13:27:00 (7),17:21:00 (7),19:08:00 (8),20:20:00 (4),,07:58:00 (5),10:46:00 (5),15:14:00 (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Cassiar Cannery,,46:45:00 (33),11:20:00 (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Anjou (EXO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:25:00 (3),08:25:00 (3),,,,,,,,,,,,,
274,Amyot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:35:00 (3),,,,,,,,,,,,,,,
275,Swanson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:10:00 (5),,,,,,,,,,,,,,,
276,Wilde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,Senneterre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:02:00 (60),,,,,,,,,,,,,
278,Wigwam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:01:00 (23),,,,,,,,,,,,,
279,Grandview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Kormak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:31:00 (18),,,,,,,,,,,,,,,
281,Leven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:54:00 (26),,,
282,Stadacona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:52:00 (23),,,,,,,,,,,,,,
283,Malachi,74:40:00 (32),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,Club Kapitachuan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:45:00 (48),,,,,,,,,,,,,
285,Kiskisink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:30:00 (36),,,,,,,,,,,,,,
286,Brantford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:48:00 (6),07:59:00 (4),11:58:00 (7),12:42:00 (4),18:36:00 (4),16:41:00 (5),20:41:00 (7),20:51:00 (4),07:27:00 (3),17:22:00 (3),,,,,,,,,,,,,,,,,,
287,Gagnon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19:10:00 (53),,,,,,,,,,,,,
288,Aldershot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:31:00 (7),07:31:00 (3),12:32:00 (8),12:13:00 (3),18:04:00 (3),17:14:00 (6),21:11:00 (8),20:23:00 (3),,16:52:00 (2),,,,,,,,,,,,,,,,,09:01:00 (3),19:04:00 (20)
289,Port Hope,,,,,,,,,,,,,,,,,,,,13:27:00 (4),,,,,,19:38:00 (4),,,,18:39:00 (4),19:07:00 (9),,,,,,,,,,,,,,,,,,,,,,,,,,,12:09:00 (10),,,,,20:34:00 (3),07:10:00 (6),,,,,,
290,Buffalo (Depew),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:40:00 (9),15:19:00 (14)
291,Arnot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,Campbellton,,,,30:33:00 (16),21:18:00 (13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,Odhill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:38:00 (21),,,
294,O'Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30:05:00 (46),,,
295,Coteau,,,,,,,07:25:00 (4),11:27:00 (3),15:27:00 (3),17:16:00 (4),,,,12:47:00 (9),17:24:00 (8),,19:45:00 (7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,Rivière-à-Pierre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:41:00 (14),,,,,,,,,,,,,,
297,Casey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:06:00 (32),,,,,,,,,,,,,
298,Club Triton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:28:00 (28),,,,,,,,,,,,,,
299,Girdwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:45:00 (4),,,,,,,,,,,,,,,
300,Manjobagues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:31:00 (35),,,,,,,,,,,,,
301,McCarthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:20:00 (33),,,,,,,,,,,,,
302,Croton-Harmon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20:17:00 (20),08:03:00 (3)
303,Metagama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:15:00 (25),,,,,,,,,,,,,,,
304,Dauphin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,North Bend,22:46:00 (5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,Sudbury Jct,100:49:00 (64),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,Sinclair Mills,,18:30:00 (12),36:44:00 (23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:56:00 (2),22:09:00 (11),,,,,,,,,,,,,,,,
309,Woodstock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:12:00 (5),08:31:00 (5),11:26:00 (6),13:10:00 (5),19:06:00 (5),,20:10:00 (6),21:18:00 (5),06:55:00 (2),17:49:00 (4),,,,,,,,,,,,,,,,,,
310,Katz,20:17:00 (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,Tidal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33:37:00 (49),,,
312,Sheahan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:41:00 (27),,,,,,,,,,,,,,,
313,Strachan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17:23:00 (39),,,,,,,,,,,,,
314,Hinton,39:45:00 (12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,Ponton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:42:00 (15),,,
316,Reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,Hudson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:58:00 (17),09:21:00 (6)
318,Miramichi,,,,34:38:00 (21),16:57:00 (8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,Sultan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:50:00 (19),,,,,,,,,,,,,,,
320,Ramsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:20:00 (21),,,,,,,,,,,,,,,
321,Winnitoba,74:21:00 (29),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,Ashcroft,25:32:00 (6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,Blue River,32:11:00 (9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Washago,106:00:00 (66),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Kingston,,,,,,,,,,,,,,,,,,12:52:00 (4),07:29:00 (5),15:02:00 (9),11:35:00 (3),16:37:00 (3),12:31:00 (3),17:58:00 (5),14:49:00 (6),21:09:00 (9),09:02:00 (6),11:05:00 (6),13:58:00 (5),20:12:00 (9),17:31:00 (4),20:14:00 (5),09:02:00 (6),09:34:00 (4),11:05:00 (6),11:42:00 (5),14:08:00 (6),13:40:00 (4),17:44:00 (5),16:07:00 (4),19:29:00 (5),19:28:00 (5),,,,,,,,,,,,,,,,10:36:00 (5),15:47:00 (6),16:38:00 (3),,18:58:00 (3),21:56:00 (6),05:32:00 (1),20:25:00 (4),20:55:00 (4),,,,
326,Press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19:50:00 (57),,,,,,,,,,,,,
327,Montmagny,,,,23:18:00 (6),28:40:00 (23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,Lac des Roches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:41:00 (38),,,,,,,,,,,,,,
329,Roblin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,Club Lizotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:57:00 (40),,,,,,,,,,,,,,
331,Rome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:36:00 (12),12:03:00 (11)
332,Richan,77:28:00 (39),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,McKee's Camp,97:20:00 (61),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,Kamloops North,27:52:00 (7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,White River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:00:00 (1),,,,,,,,,,,,,,,
336,Red Lake Road,76:51:00 (38),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,Matapédia,,,,29:40:00 (15),21:52:00 (14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,Capreol,100:27:00 (63),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,Parry Sound,104:00:00 (65),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,Toronto,110:29:00 (67),,,,,,,,,,,,,,,,,10:32:00 (1),10:02:00 (11),12:17:00 (1),13:48:00 (5),14:17:00 (1),14:48:00 (4),15:32:00 (1),17:18:00 (10),18:32:00 (1),06:32:00 (1),08:32:00 (1),16:33:00 (10),17:32:00 (1),20:18:00 (11),22:48:00 (11),06:32:00 (1),12:03:00 (8),08:32:00 (1),14:18:00 (10),11:32:00 (1),16:18:00 (9),15:17:00 (1),18:33:00 (8),17:02:00 (1),21:48:00 (8),10:10:00 (9),06:50:00 (1),13:11:00 (10),11:30:00 (1),17:22:00 (1),17:53:00 (8),21:50:00 (10),19:45:00 (1),08:35:00 (4),16:15:00 (1),13:38:00 (12),17:40:00 (1),,,,13:18:00 (13),13:17:00 (1),19:03:00 (6),16:32:00 (1),21:18:00 (6),19:35:00 (1),08:25:00 (9),18:02:00 (1),23:18:00 (7),,,08:20:00 (1),19:43:00 (22)
341,Saskatoon,56:57:00 (20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,Esher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:15:00 (13),,,,,,,,,,,,,,,
343,Kinogama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:29:00 (17),,,,,,,,,,,,,,,
344,Dix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19:13:00 (54),,,,,,,,,,,,,
345,Duplessis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:32:00 (19),,,,,,,,,,,,,
346,Endako,,37:50:00 (20),20:25:00 (15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,Gilbert Plains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,Parent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:48:00 (36),,,,,,,,,,,,,
349,Willow River,,19:31:00 (16),35:48:00 (19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,Napanee,,,,,,,,,,,,,,,,,,,07:50:00 (6),14:38:00 (8),,,,,,20:47:00 (8),,,,19:50:00 (8),17:55:00 (5),,,,,,,,,,,,,,,,,,,,,,,,,,,10:59:00 (6),,,,,,05:55:00 (2),,,,,,
351,Veregin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,Oskelaneo Lodge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17:49:00 (42),,,,,,,,,,,,,
353,Upper Frazer,,18:52:00 (14),36:25:00 (21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,Sanmaur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:29:00 (28),,,,,,,,,,,,,
355,Smithers,,41:20:00 (24),17:24:00 (11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,Abbotsford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,Chesnaye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32:06:00 (48),,,
358,Watrous,58:26:00 (21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,New Hazelton,,42:37:00 (25),15:30:00 (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,Montréal,,,,18:30:00 (1),33:53:00 (28),06:25:00 (1),08:36:00 (6),12:45:00 (5),16:40:00 (5),18:25:00 (6),21:00:00 (6),06:20:00 (1),09:00:00 (7),11:54:00 (7),16:30:00 (6),19:57:00 (5),18:50:00 (5),,,,,,,,,,,,,,,,11:50:00 (9),06:45:00 (1),14:00:00 (9),08:46:00 (1),17:05:00 (10),10:49:00 (1),20:25:00 (8),13:22:00 (1),22:14:00 (9),16:38:00 (1),,,,,,,,,,,,,,07:30:00 (1),07:30:00 (1),,,,,,,,23:04:00 (7),18:09:00 (1),,,,
361,Portage la Prairie,68:15:00 (24),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,Rhinecliff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19:20:00 (18),09:00:00 (5)
363,Amqui,,,,28:33:00 (13),23:02:00 (16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,Azilda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:05:00 (35),,,,,,,,,,,,,,,
365,Kitchener,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:04:00 (7),19:18:00 (6),,,,,,,,,,,,,,,,
366,Lochalsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:40:00 (7),,,,,,,,,,,,,,,
367,Canora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,Halcrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:01:00 (7),,,
369,Chatham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:23:00 (2),10:19:00 (9),09:29:00 (2),14:54:00 (7),20:58:00 (9),14:31:00 (2),18:28:00 (2),22:59:00 (9),,,,,,,,,,,,,,,,,,,,
370,Bridgar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20:13:00 (30),,,
371,Cornwall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:40:00 (7),08:04:00 (3),12:45:00 (7),10:07:00 (3),15:46:00 (8),12:09:00 (3),19:10:00 (6),14:40:00 (3),20:59:00 (7),17:55:00 (3),,,,,,,,,,,,,,,,,,,,,,,21:51:00 (5),19:28:00 (3),,,,
372,Endeavour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,Hockin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:22:00 (24),,,
374,Ferguson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:55:00 (22),,,,,,,,,,,,,
375,Sauvé (EXO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:11:00 (2),08:11:00 (2),,,,,,,,,,,,,
376,Club Nicol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:20:00 (27),,,,,,,,,,,,,,
377,Club Grégoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:03:00 (32),,,,,,,,,,,,,,
378,Weymont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:27:00 (27),,,,,,,,,,,,,
379,Lac Malouin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:43:00 (21),,,,,,,,,,,,,,
380,Summit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:09:00 (34),,,,,,,,,,,,,,
381,Sioux Lookout,79:51:00 (40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,Cherokee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54:00 (30),,,,,,,,,,,,,,
383,Sayabec,,,,28:10:00 (12),23:22:00 (17),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,Saint-Justin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:37:00 (5),09:37:00 (5),,,,,,,,,,,,,
385,Springhill Jct.,,,,38:18:00 (26),13:13:00 (3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,Sinker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:10:00 (24),,,,,,,,,,,,,,,
387,Forks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:31:00 (26),,,,,,,,,,,,,,,
