,stop_name,7 (South Shore Line),8 (South Shore Line),11 (South Shore Line),16 (South Shore Line),17 (South Shore Line),22 (South Shore Line),24 (South Shore Line),25 (South Shore Line),30 (South Shore Line),32 (South Shore Line),33 (South Shore Line),35 (South Shore Line),101 (South Shore Line),102 (South Shore Line),103 (South Shore Line),104 (South Shore Line),105 (South Shore Line),106 (South Shore Line),108 (South Shore Line),109 (South Shore Line),110 (South Shore Line),111 (South Shore Line),112 (South Shore Line),113 (South Shore Line),114 (South Shore Line),115 (South Shore Line),116 (South Shore Line),117 (South Shore Line),119 (South Shore Line),120 (South Shore Line),121 (South Shore Line),122 (South Shore Line),123 (South Shore Line),126 (South Shore Line),127 (South Shore Line),128 (South Shore Line),129 (South Shore Line),130 (South Shore Line),131 (South Shore Line),133 (South Shore Line),201 (South Shore Line),203 (South Shore Line),205 (South Shore Line),207 (South Shore Line),209 (South Shore Line),216 (South Shore Line),218 (South Shore Line),222 (South Shore Line),224 (South Shore Line),225 (South Shore Line),226 (South Shore Line),228 (South Shore Line),232 (South Shore Line),400 (South Shore Line),401 (South Shore Line),403 (South Shore Line),405 (South Shore Line),430 (South Shore Line),432 (South Shore Line)
0,Millennium Station,8:48:00 (1),6:53:00 (7),12:40:00 (1),8:18:00 (7),16:05:00 (1),10:43:00 (16),13:43:00 (16),17:27:00 (1),17:53:00 (16),22:00:00 (15),20:15:00 (1),23:15:00 (1),24:45:00 (1),5:32:00 (15),7:32:00 (1),6:12:00 (10),7:48:00 (1),6:27:00 (15),7:05:00 (11),10:48:00 (1),7:13:00 (9),13:48:00 (1),7:36:00 (14),14:45:00 (1),7:42:00 (14),15:28:00 (1),8:23:00 (8),16:22:00 (1),16:37:00 (1),9:41:00 (15),17:00:00 (1),11:47:00 (15),17:15:00 (1),15:39:00 (9),18:01:00 (1),17:03:00 (12),18:25:00 (1),18:54:00 (14),19:15:00 (1),21:03:00 (1),5:54:00 (1),6:25:00 (1),7:00:00 (1),9:39:00 (1),11:45:00 (1),8:38:00 (9),8:58:00 (9),12:45:00 (9),14:48:00 (9),17:47:00 (1),16:00:00 (10),17:28:00 (9),20:00:00 (10),,,,,,
1,Van Buren St.,8:51:00 (2),6:50:00 (6),12:43:00 (2),8:15:00 (6),16:08:00 (2),10:40:00 (15),13:40:00 (15),17:30:00 (2),17:50:00 (15),21:57:00 (14),20:18:00 (2),23:18:00 (2),24:48:00 (2),5:29:00 (14),7:35:00 (2),6:09:00 (9),7:51:00 (2),6:24:00 (14),7:02:00 (10),10:51:00 (2),7:10:00 (8),13:51:00 (2),7:33:00 (13),14:48:00 (2),7:39:00 (13),15:31:00 (2),8:20:00 (7),16:25:00 (2),16:40:00 (2),9:38:00 (14),17:03:00 (2),11:44:00 (14),17:18:00 (2),15:36:00 (8),18:04:00 (2),17:00:00 (11),18:28:00 (2),18:51:00 (13),19:18:00 (2),21:06:00 (2),5:57:00 (2),6:28:00 (2),7:03:00 (2),9:42:00 (2),11:48:00 (2),8:35:00 (8),8:55:00 (8),12:42:00 (8),14:45:00 (8),17:50:00 (2),15:57:00 (9),17:25:00 (8),19:57:00 (9),,,,,,
2,Museum Campus/11th St.,,,12:46:00 (3),,,10:37:00 (14),13:37:00 (14),17:33:00 (3),17:47:00 (14),21:54:00 (13),20:21:00 (3),23:21:00 (3),24:51:00 (3),5:26:00 (13),,,,6:21:00 (13),,,,13:54:00 (3),7:30:00 (12),14:51:00 (3),,15:34:00 (3),,,16:43:00 (3),9:35:00 (13),,11:41:00 (13),,15:33:00 (7),18:07:00 (3),16:57:00 (10),18:31:00 (3),18:48:00 (12),19:21:00 (3),21:09:00 (3),,,,,11:51:00 (3),,8:52:00 (7),12:39:00 (7),14:42:00 (7),,15:54:00 (8),17:22:00 (7),19:54:00 (8),,,,,,
3,McCormick Place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,57th St.,8:59:00 (3),6:42:00 (5),12:53:00 (4),,16:16:00 (3),10:30:00 (13),13:30:00 (13),17:40:00 (4),17:41:00 (13),,20:28:00 (4),23:28:00 (4),,5:20:00 (12),,6:01:00 (8),7:59:00 (3),6:15:00 (12),6:54:00 (9),11:00:00 (3),,14:01:00 (4),7:21:00 (11),14:58:00 (4),7:31:00 (12),,8:12:00 (6),16:33:00 (3),,9:28:00 (12),17:11:00 (3),11:34:00 (12),,,,,18:38:00 (4),,19:28:00 (4),21:16:00 (4),,6:36:00 (3),,9:51:00 (3),11:58:00 (4),8:27:00 (7),,,,17:58:00 (3),15:47:00 (7),,19:48:00 (7),,,,,,
5,63rd St.,,,,,,,,,,,,,,,,,,,,,,,7:18:00 (10),,,15:44:00 (4),,,,,,,,,18:17:00 (4),,,,,,,,,,,,,,,,,,,,,,,,
6,Hegewisch,9:15:00 (4),,13:11:00 (5),7:48:00 (5),16:34:00 (4),10:08:00 (12),13:08:00 (12),17:58:00 (5),17:21:00 (12),21:29:00 (12),20:46:00 (5),23:46:00 (5),25:14:00 (4),5:00:00 (11),,5:44:00 (7),8:15:00 (4),5:58:00 (11),6:35:00 (8),11:22:00 (4),6:43:00 (7),14:19:00 (5),7:00:00 (9),15:16:00 (5),7:11:00 (11),15:59:00 (5),,16:52:00 (4),17:07:00 (4),9:06:00 (11),17:30:00 (4),11:12:00 (11),,,18:32:00 (5),16:29:00 (9),18:56:00 (5),18:23:00 (11),19:46:00 (5),21:34:00 (5),6:20:00 (3),6:52:00 (4),7:26:00 (3),10:09:00 (4),12:16:00 (5),8:08:00 (6),8:28:00 (6),12:11:00 (6),14:14:00 (6),18:16:00 (4),15:25:00 (6),16:57:00 (6),19:28:00 (6),,,,,,
7,Hammond,9:19:00 (5),,13:15:00 (6),7:44:00 (4),16:38:00 (5),10:04:00 (11),13:04:00 (11),18:02:00 (6),17:17:00 (11),21:25:00 (11),20:50:00 (6),23:50:00 (6),25:18:00 (5),4:56:00 (10),,5:40:00 (6),8:19:00 (5),5:54:00 (10),6:31:00 (7),11:26:00 (5),6:39:00 (6),14:23:00 (6),6:56:00 (8),15:20:00 (6),7:07:00 (10),16:03:00 (6),,16:56:00 (5),17:11:00 (5),9:02:00 (10),17:34:00 (5),11:08:00 (10),17:48:00 (3),,18:36:00 (6),16:25:00 (8),19:00:00 (6),18:19:00 (10),19:50:00 (6),21:38:00 (6),6:24:00 (4),6:56:00 (5),7:30:00 (4),10:13:00 (5),12:20:00 (6),8:04:00 (5),8:24:00 (5),12:07:00 (5),14:10:00 (5),18:20:00 (5),15:21:00 (5),16:53:00 (5),19:24:00 (5),,,,,,
8,East Chicago,9:24:00 (6),6:18:00 (4),13:20:00 (7),7:39:00 (3),16:43:00 (6),9:59:00 (10),12:59:00 (10),18:07:00 (7),17:12:00 (10),21:20:00 (10),20:55:00 (7),23:55:00 (7),25:23:00 (6),4:51:00 (9),,5:35:00 (5),8:24:00 (6),5:49:00 (9),,11:31:00 (6),6:34:00 (5),14:28:00 (7),6:51:00 (7),15:25:00 (7),7:02:00 (9),16:08:00 (7),,17:01:00 (6),17:16:00 (6),8:57:00 (9),17:39:00 (6),11:03:00 (9),17:53:00 (4),,18:41:00 (7),16:20:00 (7),19:05:00 (7),18:14:00 (9),19:55:00 (7),21:43:00 (7),6:29:00 (5),7:01:00 (6),7:35:00 (5),10:18:00 (6),12:25:00 (7),7:59:00 (4),8:19:00 (4),12:02:00 (4),14:05:00 (4),18:25:00 (6),15:16:00 (4),16:48:00 (4),19:19:00 (4),,,,,,
9,Gary/Chicago Airport,9:28:00 (7),,13:24:00 (8),,,9:55:00 (9),12:55:00 (9),18:11:00 (8),17:08:00 (9),21:16:00 (9),20:59:00 (8),,,4:47:00 (8),,,8:28:00 (7),5:45:00 (8),6:23:00 (6),11:35:00 (7),,14:32:00 (8),6:47:00 (6),15:29:00 (8),6:58:00 (8),16:12:00 (8),,,17:20:00 (7),8:53:00 (8),,10:59:00 (8),17:57:00 (5),,18:45:00 (8),,19:09:00 (8),18:10:00 (8),19:59:00 (8),21:47:00 (8),6:33:00 (6),7:05:00 (7),7:39:00 (6),10:22:00 (7),12:29:00 (8),7:55:00 (3),8:15:00 (3),11:58:00 (3),14:01:00 (3),18:29:00 (7),15:12:00 (3),16:44:00 (3),19:15:00 (3),,,,,,
10,Gary Metro Center,9:33:00 (8),,13:29:00 (9),,,9:50:00 (8),12:50:00 (8),18:16:00 (9),17:03:00 (8),21:11:00 (8),21:04:00 (9),24:03:00 (8),25:31:00 (7),4:42:00 (7),,,8:33:00 (8),5:40:00 (7),6:18:00 (5),11:40:00 (8),,14:37:00 (9),6:42:00 (5),15:34:00 (9),6:53:00 (7),16:17:00 (9),,,17:25:00 (8),8:48:00 (7),,10:54:00 (7),18:02:00 (6),,18:50:00 (9),16:12:00 (6),19:14:00 (9),18:05:00 (7),20:04:00 (9),21:52:00 (9),6:38:00 (7),7:10:00 (8),7:44:00 (7),10:27:00 (8),12:34:00 (9),7:50:00 (2),8:10:00 (2),11:53:00 (2),13:56:00 (2),18:34:00 (8),15:07:00 (2),16:39:00 (2),19:10:00 (2),,,,,,
11,Miller,9:38:00 (9),,13:34:00 (10),,16:55:00 (7),9:45:00 (7),12:45:00 (7),18:21:00 (10),16:58:00 (7),21:06:00 (7),21:09:00 (10),24:08:00 (9),25:36:00 (8),4:37:00 (6),8:16:00 (3),5:23:00 (4),,5:35:00 (6),6:13:00 (4),11:45:00 (9),6:22:00 (4),14:42:00 (10),6:37:00 (4),15:39:00 (10),6:48:00 (6),16:22:00 (10),7:36:00 (5),17:13:00 (7),17:30:00 (9),8:43:00 (6),17:51:00 (7),10:49:00 (6),18:07:00 (7),14:47:00 (6),18:55:00 (10),16:07:00 (5),19:19:00 (10),18:00:00 (6),20:09:00 (10),21:57:00 (10),6:45:00 (8),7:17:00 (9),7:51:00 (8),10:35:00 (9),12:42:00 (10),7:45:00 (1),8:05:00 (1),11:48:00 (1),13:51:00 (1),18:39:00 (9),15:02:00 (1),16:34:00 (1),19:05:00 (1),,,,,,
12,Portage/Ogden Dunes,9:43:00 (10),,13:39:00 (11),,,9:40:00 (6),12:40:00 (6),18:26:00 (11),16:53:00 (6),21:01:00 (6),21:14:00 (11),24:13:00 (10),25:41:00 (9),4:32:00 (5),8:21:00 (4),5:18:00 (3),,5:30:00 (5),6:08:00 (3),11:50:00 (10),6:17:00 (3),14:47:00 (11),6:32:00 (3),15:44:00 (11),6:43:00 (5),16:27:00 (11),7:31:00 (4),17:18:00 (8),17:35:00 (10),8:38:00 (5),17:56:00 (8),10:44:00 (5),18:12:00 (8),14:42:00 (5),19:00:00 (11),16:02:00 (4),19:24:00 (11),17:55:00 (5),20:14:00 (11),22:02:00 (11),,,,,,,,,,,,,,,,,,,
13,Dune Park,9:50:00 (11),5:56:00 (3),13:46:00 (12),,17:06:00 (8),9:33:00 (5),12:33:00 (5),18:33:00 (12),16:46:00 (5),20:54:00 (5),21:21:00 (12),24:20:00 (11),25:48:00 (10),4:25:00 (4),8:28:00 (5),5:11:00 (2),,5:23:00 (4),,11:57:00 (11),6:10:00 (2),14:54:00 (12),6:25:00 (2),15:51:00 (12),6:36:00 (4),16:34:00 (12),7:24:00 (3),17:25:00 (9),17:42:00 (11),8:31:00 (4),18:03:00 (9),10:37:00 (4),18:19:00 (9),14:35:00 (4),19:07:00 (12),15:55:00 (3),19:31:00 (12),17:48:00 (4),20:21:00 (12),22:09:00 (12),,,,,,,,,,,,,,,,,,,
14,Beverly Shores,9:55:00 (12),,13:51:00 (13),,,9:28:00 (4),12:28:00 (4),18:38:00 (13),16:41:00 (4),20:49:00 (4),21:26:00 (13),24:25:00 (12),25:53:00 (11),4:20:00 (3),8:33:00 (6),,,5:18:00 (3),5:57:00 (2),12:02:00 (12),,14:59:00 (13),,15:56:00 (13),6:31:00 (3),16:39:00 (13),7:19:00 (2),,17:47:00 (12),8:26:00 (3),,10:32:00 (3),18:24:00 (10),14:30:00 (3),19:12:00 (13),,19:36:00 (13),17:43:00 (3),20:26:00 (13),22:14:00 (13),,,,,,,,,,,,,,,,,,,
15,11th St. (Michigan City),10:01:00 (13),5:46:00 (2),13:57:00 (14),,17:16:00 (9),9:22:00 (3),12:22:00 (3),18:44:00 (14),16:35:00 (3),20:43:00 (3),21:32:00 (14),24:31:00 (13),25:59:00 (12),4:14:00 (2),8:39:00 (7),5:01:00 (1),8:56:00 (9),5:12:00 (2),5:51:00 (1),12:11:00 (13),6:00:00 (1),15:08:00 (14),6:15:00 (1),16:05:00 (14),6:25:00 (2),16:48:00 (14),7:13:00 (1),17:35:00 (10),17:53:00 (13),8:20:00 (2),18:13:00 (10),10:26:00 (2),18:30:00 (11),14:24:00 (2),19:18:00 (14),15:45:00 (2),19:42:00 (14),17:37:00 (2),20:32:00 (14),22:20:00 (14),,,,,,,,,,,,,,,,,,,
16,Carroll Ave. (Michigan City),,,,,,,,,,,,,26:03:00 (13),4:08:00 (1),8:45:00 (8),,9:02:00 (10),5:06:00 (1),,,,15:12:00 (15),,16:09:00 (15),6:19:00 (1),16:52:00 (15),,,17:59:00 (14),8:14:00 (1),18:19:00 (11),10:20:00 (1),18:36:00 (12),14:18:00 (1),19:22:00 (15),15:39:00 (1),19:46:00 (15),17:31:00 (1),,22:24:00 (15),,,,,,,,,,,,,,2:08:00 (2),4:00:00 (1),4:45:00 (1),7:35:00 (1),19:15:00 (2),23:08:00 (2)
17,Hudson Lake,10:22:00 (14),,14:18:00 (15),6:48:00 (2),,9:01:00 (2),12:01:00 (2),19:05:00 (15),16:14:00 (2),20:22:00 (2),21:53:00 (15),24:52:00 (14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4:18:00 (2),5:03:00 (2),,,
18,South Bend Airport,10:46:00 (15),5:04:00 (1),14:42:00 (16),6:26:00 (1),18:00:00 (10),8:39:00 (1),11:39:00 (1),19:26:00 (16),15:52:00 (1),20:00:00 (1),22:16:00 (16),25:13:00 (15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1:30:00 (1),4:39:00 (3),5:38:00 (3),8:13:00 (2),18:25:00 (1),22:30:00 (1)
