,stop_name,115057476 (N),115057477 (N),115057478 (N),115057479 (N),115057480 (N),115057481 (N),115057482 (N),115057483 (N),115057484 (N),115057485 (N),115057486 (N),115057487 (N),115057488 (N),115057489 (N),115057490 (N),115057491 (N),115057492 (N),115057493 (N),115057494 (N),115057495 (N),115057496 (N),115057503 (N),115057504 (N),115057505 (N),115057506 (N),115057507 (N),115057508 (N),115057509 (N),115057510 (N),115057511 (N),115057512 (N),115057513 (N),115057514 (N),115057515 (N),115057516 (N),115057517 (N),115057519 (N),115057520 (N),115057521 (N),115057522 (N),115057523 (N),115057524 (N),115057525 (N),115057526 (N),115057527 (N),115057528 (N),115057529 (N),115057530 (N),115057531 (N),115057532 (N),115057533 (N),115057534 (N),115057535 (N),115057536 (N),115057537 (N),115057538 (N),115057539 (N),115057540 (N),115057541 (N),115057542 (N),115057543 (N),115057544 (N),115057545 (N),115057546 (N),115057547 (N),115057548 (N),115057549 (N),115057550 (N),115057551 (N),115057552 (N),115057553 (N),115057554 (N)
0,Union Station,12:56:00 (1),13:26:00 (1),13:56:00 (1),14:26:00 (1),14:56:00 (1),15:26:00 (1),15:56:00 (1),16:26:00 (1),16:56:00 (1),17:26:00 (1),17:56:00 (1),18:26:00 (1),18:56:00 (1),19:26:00 (1),19:56:00 (1),20:26:00 (1),20:56:00 (1),21:26:00 (1),21:56:00 (1),22:26:00 (1),22:56:00 (1),05:26:00 (1),05:56:00 (1),06:26:00 (1),06:56:00 (1),07:26:00 (1),07:56:00 (1),08:26:00 (1),08:56:00 (1),09:26:00 (1),09:56:00 (1),10:26:00 (1),10:56:00 (1),11:26:00 (1),11:56:00 (1),12:26:00 (1),05:12:00 (7),05:42:00 (7),06:12:00 (7),06:42:00 (7),07:12:00 (7),07:42:00 (7),08:12:00 (7),08:42:00 (7),09:12:00 (7),09:42:00 (7),10:12:00 (7),10:42:00 (7),11:12:00 (7),11:42:00 (7),12:12:00 (7),12:42:00 (7),13:12:00 (7),13:42:00 (7),14:12:00 (7),14:42:00 (7),15:12:00 (7),15:42:00 (7),16:12:00 (7),16:42:00 (7),17:12:00 (7),17:42:00 (7),18:12:00 (7),18:42:00 (7),19:12:00 (7),19:42:00 (7),20:12:00 (7),20:42:00 (7),21:12:00 (7),21:42:00 (7),22:12:00 (7),22:42:00 (7)
1,48th Ave/Brighton Blvd @ Nat`L Western Ctr,13:04:00 (2),13:34:00 (2),14:04:00 (2),14:34:00 (2),15:04:00 (2),15:34:00 (2),16:04:00 (2),16:34:00 (2),17:04:00 (2),17:34:00 (2),18:04:00 (2),18:34:00 (2),19:04:00 (2),19:34:00 (2),20:04:00 (2),20:34:00 (2),21:04:00 (2),21:34:00 (2),22:04:00 (2),22:34:00 (2),23:04:00 (2),05:34:00 (2),06:04:00 (2),06:34:00 (2),07:04:00 (2),07:34:00 (2),08:04:00 (2),08:34:00 (2),09:04:00 (2),09:34:00 (2),10:04:00 (2),10:34:00 (2),11:04:00 (2),11:34:00 (2),12:04:00 (2),12:34:00 (2),05:04:00 (6),05:34:00 (6),06:04:00 (6),06:34:00 (6),07:04:00 (6),07:34:00 (6),08:04:00 (6),08:34:00 (6),09:04:00 (6),09:34:00 (6),10:04:00 (6),10:34:00 (6),11:04:00 (6),11:34:00 (6),12:04:00 (6),12:34:00 (6),13:04:00 (6),13:34:00 (6),14:04:00 (6),14:34:00 (6),15:04:00 (6),15:34:00 (6),16:04:00 (6),16:34:00 (6),17:04:00 (6),17:34:00 (6),18:04:00 (6),18:34:00 (6),19:04:00 (6),19:34:00 (6),20:04:00 (6),20:34:00 (6),21:04:00 (6),21:34:00 (6),22:04:00 (6),22:34:00 (6)
2,Commerce City / 72nd Ave Station,13:10:30 (3),13:40:30 (3),14:10:30 (3),14:40:30 (3),15:10:30 (3),15:40:30 (3),16:10:30 (3),16:40:30 (3),17:10:30 (3),17:40:30 (3),18:10:30 (3),18:40:30 (3),19:10:30 (3),19:40:30 (3),20:10:30 (3),20:40:30 (3),21:10:30 (3),21:40:30 (3),22:10:30 (3),22:40:30 (3),23:10:30 (3),05:40:30 (3),06:10:30 (3),06:40:30 (3),07:10:30 (3),07:40:30 (3),08:10:30 (3),08:40:30 (3),09:10:30 (3),09:40:30 (3),10:10:30 (3),10:40:30 (3),11:10:30 (3),11:40:30 (3),12:10:30 (3),12:40:30 (3),04:57:00 (5),05:27:00 (5),05:57:00 (5),06:27:00 (5),06:57:00 (5),07:27:00 (5),07:57:00 (5),08:27:00 (5),08:57:00 (5),09:27:00 (5),09:57:00 (5),10:27:00 (5),10:57:00 (5),11:27:00 (5),11:57:00 (5),12:27:00 (5),12:57:00 (5),13:27:00 (5),13:57:00 (5),14:27:00 (5),14:57:00 (5),15:27:00 (5),15:57:00 (5),16:27:00 (5),16:57:00 (5),17:27:00 (5),17:57:00 (5),18:27:00 (5),18:57:00 (5),19:27:00 (5),19:57:00 (5),20:27:00 (5),20:57:00 (5),21:27:00 (5),21:57:00 (5),22:27:00 (5)
3,Original Thornton / 88th Ave Station,13:14:30 (4),13:44:30 (4),14:14:30 (4),14:44:30 (4),15:14:30 (4),15:44:30 (4),16:14:30 (4),16:44:30 (4),17:14:30 (4),17:44:30 (4),18:14:30 (4),18:44:30 (4),19:14:30 (4),19:44:30 (4),20:14:30 (4),20:44:30 (4),21:14:30 (4),21:44:30 (4),22:14:30 (4),22:44:30 (4),23:14:30 (4),05:44:30 (4),06:14:30 (4),06:44:30 (4),07:14:30 (4),07:44:30 (4),08:14:30 (4),08:44:30 (4),09:14:30 (4),09:44:30 (4),10:14:30 (4),10:44:30 (4),11:14:30 (4),11:44:30 (4),12:14:30 (4),12:44:30 (4),04:53:15 (4),05:23:15 (4),05:53:15 (4),06:23:15 (4),06:53:15 (4),07:23:15 (4),07:53:15 (4),08:23:15 (4),08:53:15 (4),09:23:15 (4),09:53:15 (4),10:23:15 (4),10:53:15 (4),11:23:15 (4),11:53:15 (4),12:23:15 (4),12:53:15 (4),13:23:15 (4),13:53:15 (4),14:23:15 (4),14:53:15 (4),15:23:15 (4),15:53:15 (4),16:23:15 (4),16:53:15 (4),17:23:15 (4),17:53:15 (4),18:23:15 (4),18:53:15 (4),19:23:15 (4),19:53:15 (4),20:23:15 (4),20:53:15 (4),21:23:15 (4),21:53:15 (4),22:23:15 (4)
4,Thornton Crossroads / 104th Ave Station,13:18:15 (5),13:48:15 (5),14:18:15 (5),14:48:15 (5),15:18:15 (5),15:48:15 (5),16:18:15 (5),16:48:15 (5),17:18:15 (5),17:48:15 (5),18:18:15 (5),18:48:15 (5),19:18:15 (5),19:48:15 (5),20:18:15 (5),20:48:15 (5),21:18:15 (5),21:48:15 (5),22:18:15 (5),22:48:15 (5),23:18:15 (5),05:48:15 (5),06:18:15 (5),06:48:15 (5),07:18:15 (5),07:48:15 (5),08:18:15 (5),08:48:15 (5),09:18:15 (5),09:48:15 (5),10:18:15 (5),10:48:15 (5),11:18:15 (5),11:48:15 (5),12:18:15 (5),12:48:15 (5),04:49:45 (3),05:19:45 (3),05:49:45 (3),06:19:45 (3),06:49:45 (3),07:19:45 (3),07:49:45 (3),08:19:45 (3),08:49:45 (3),09:19:45 (3),09:49:45 (3),10:19:45 (3),10:49:45 (3),11:19:45 (3),11:49:45 (3),12:19:45 (3),12:49:45 (3),13:19:45 (3),13:49:45 (3),14:19:45 (3),14:49:45 (3),15:19:45 (3),15:49:45 (3),16:19:45 (3),16:49:45 (3),17:19:45 (3),17:49:45 (3),18:19:45 (3),18:49:45 (3),19:19:45 (3),19:49:45 (3),20:19:45 (3),20:49:45 (3),21:19:45 (3),21:49:45 (3),22:19:45 (3)
5,Northglenn / 112th Ave Station,13:21:45 (6),13:51:45 (6),14:21:45 (6),14:51:45 (6),15:21:45 (6),15:51:45 (6),16:21:45 (6),16:51:45 (6),17:21:45 (6),17:51:45 (6),18:21:45 (6),18:51:45 (6),19:21:45 (6),19:51:45 (6),20:21:45 (6),20:51:45 (6),21:21:45 (6),21:51:45 (6),22:21:45 (6),22:51:45 (6),23:21:45 (6),05:51:45 (6),06:21:45 (6),06:51:45 (6),07:21:45 (6),07:51:45 (6),08:21:45 (6),08:51:45 (6),09:21:45 (6),09:51:45 (6),10:21:45 (6),10:51:45 (6),11:21:45 (6),11:51:45 (6),12:21:45 (6),12:51:45 (6),04:46:15 (2),05:16:15 (2),05:46:15 (2),06:16:15 (2),06:46:15 (2),07:16:15 (2),07:46:15 (2),08:16:15 (2),08:46:15 (2),09:16:15 (2),09:46:15 (2),10:16:15 (2),10:46:15 (2),11:16:15 (2),11:46:15 (2),12:16:15 (2),12:46:15 (2),13:16:15 (2),13:46:15 (2),14:16:15 (2),14:46:15 (2),15:16:15 (2),15:46:15 (2),16:16:15 (2),16:46:15 (2),17:16:15 (2),17:46:15 (2),18:16:15 (2),18:46:15 (2),19:16:15 (2),19:46:15 (2),20:16:15 (2),20:46:15 (2),21:16:15 (2),21:46:15 (2),22:16:15 (2)
6,Eastlake /124th Ave,13:26:45 (7),13:56:45 (7),14:26:45 (7),14:56:45 (7),15:26:45 (7),15:56:45 (7),16:26:45 (7),16:56:45 (7),17:26:45 (7),17:56:45 (7),18:26:45 (7),18:56:45 (7),19:26:45 (7),19:56:45 (7),20:26:45 (7),20:56:45 (7),21:26:45 (7),21:56:45 (7),22:26:45 (7),22:56:45 (7),23:26:45 (7),05:56:45 (7),06:26:45 (7),06:56:45 (7),07:26:45 (7),07:56:45 (7),08:26:45 (7),08:56:45 (7),09:26:45 (7),09:56:45 (7),10:26:45 (7),10:56:45 (7),11:26:45 (7),11:56:45 (7),12:26:45 (7),12:56:45 (7),04:43:00 (1),05:13:00 (1),05:43:00 (1),06:13:00 (1),06:43:00 (1),07:13:00 (1),07:43:00 (1),08:13:00 (1),08:43:00 (1),09:13:00 (1),09:43:00 (1),10:13:00 (1),10:43:00 (1),11:13:00 (1),11:43:00 (1),12:13:00 (1),12:43:00 (1),13:13:00 (1),13:43:00 (1),14:13:00 (1),14:43:00 (1),15:13:00 (1),15:43:00 (1),16:13:00 (1),16:43:00 (1),17:13:00 (1),17:43:00 (1),18:13:00 (1),18:43:00 (1),19:13:00 (1),19:43:00 (1),20:13:00 (1),20:43:00 (1),21:13:00 (1),21:43:00 (1),22:13:00 (1)
7,38th / Blake Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,39th St / Table Mesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,40th / Colorado Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Central Park Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Peoria Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,40th  / Airport - Gateway Park Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,61st / Pena Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Denver Airport Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,41st / Fox Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Pecos Junction Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Westminster Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Clear Creek / Federal Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,60th / Dahlia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Olde Town Arvada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Arvada Ridge Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Wheat Ridge / Ward Road Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Wadsworth / Hampden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Nine Mile Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Evans Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,18th St / California Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Platte Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Iliff Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Longmont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Boulder Junction at Depot Square Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Parker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Meridian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Thornton East Side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Paradise Hills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,US 36 / Church Ranch Station East Side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2nd Ave & Abilene Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Federal / Evans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,10th / Osage Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Dry Creek Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,US 285 / Mountain View,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Decatur-Federal Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
