,stop_name,1500.0 (Seattle - Tacoma/Lakewood),1501.0 (Seattle - Tacoma/Lakewood),1502.0 (Seattle - Tacoma/Lakewood),1503.0 (Seattle - Tacoma/Lakewood),1504.0 (Seattle - Tacoma/Lakewood),1505.0 (Seattle - Tacoma/Lakewood),1506.0 (Seattle - Tacoma/Lakewood),1507.0 (Seattle - Tacoma/Lakewood),1508.0 (Seattle - Tacoma/Lakewood),1509.0 (Seattle - Tacoma/Lakewood),1510.0 (Seattle - Tacoma/Lakewood),1511.0 (Seattle - Tacoma/Lakewood),1512.0 (Seattle - Tacoma/Lakewood),1513.0 (Seattle - Tacoma/Lakewood),1514.0 (Seattle - Tacoma/Lakewood),1515.0 (Seattle - Tacoma/Lakewood),1516.0 (Seattle - Tacoma/Lakewood),1517.0 (Seattle - Tacoma/Lakewood),1518.0 (Seattle - Tacoma/Lakewood),1519.0 (Seattle - Tacoma/Lakewood),1520.0 (Seattle - Tacoma/Lakewood),1521.0 (Seattle - Tacoma/Lakewood),1522.0 (Seattle - Tacoma/Lakewood),1523.0 (Seattle - Tacoma/Lakewood),1524.0 (Seattle - Tacoma/Lakewood),1525.0 (Seattle - Tacoma/Lakewood),1700.0 (Everett - Seattle),1701.0 (Everett - Seattle),1702.0 (Everett - Seattle),1703.0 (Everett - Seattle),1704.0 (Everett - Seattle),1705.0 (Everett - Seattle),1706.0 (Everett - Seattle),1707.0 (Everett - Seattle),nan (Lynnwood - Angle Lake),nan (South Bellevue - Redmond Tech),nan (Tacoma Dome - St Joseph)
119,Sumner Station,05:08:00 (5),06:42:00 (5),05:33:00 (5),07:12:00 (5),05:58:00 (5),08:32:00 (5),06:18:00 (5),15:12:00 (5),06:38:00 (5),15:52:00 (5),06:58:00 (5),16:12:00 (5),07:18:00 (5),16:32:00 (5),07:38:00 (3),16:52:00 (5),08:08:00 (5),17:12:00 (5),10:43:00 (5),17:32:00 (5),16:23:00 (5),17:57:00 (5),16:47:00 (3),18:22:00 (5),17:32:00 (5),19:07:00 (5),,,,,,,,,,,
120,Puyallup Station,05:03:00 (4),06:47:00 (6),05:28:00 (4),07:17:00 (6),05:53:00 (4),08:37:00 (6),06:13:00 (4),15:17:00 (6),06:33:00 (4),15:57:00 (6),06:53:00 (4),16:17:00 (6),07:13:00 (4),16:37:00 (6),07:33:00 (2),16:57:00 (6),08:03:00 (4),17:17:00 (6),10:38:00 (4),17:37:00 (6),16:18:00 (4),18:02:00 (6),16:42:00 (2),18:27:00 (6),17:27:00 (4),19:12:00 (6),,,,,,,,,,,
121,Tacoma Dome Station,04:50:00 (3),07:06:00 (7),05:15:00 (3),07:36:00 (7),05:40:00 (3),08:50:00 (7),06:00:00 (3),15:37:00 (7),06:20:00 (3),16:17:00 (7),06:40:00 (3),16:30:00 (7),07:00:00 (3),16:57:00 (7),07:20:00 (1),17:10:00 (7),07:50:00 (3),17:30:00 (7),10:25:00 (3),17:50:00 (7),16:06:00 (3),18:15:00 (7),16:30:00 (1),18:40:00 (7),17:15:00 (3),19:25:00 (7),,,,,,,,,,,
122,South Tacoma Station,04:41:00 (2),,05:06:00 (2),,05:31:00 (2),08:59:00 (8),05:51:00 (2),,06:11:00 (2),,06:31:00 (2),16:39:00 (8),06:51:00 (2),,,17:19:00 (8),,17:39:00 (8),10:16:00 (2),17:59:00 (8),,18:24:00 (8),,18:49:00 (8),,19:34:00 (8),,,,,,,,,,,
123,Lakewood Station,04:36:00 (1),,05:01:00 (1),,05:26:00 (1),09:11:00 (9),05:46:00 (1),,06:06:00 (1),,06:26:00 (1),16:51:00 (9),06:46:00 (1),,,17:31:00 (9),,17:51:00 (9),10:11:00 (1),18:11:00 (9),,18:36:00 (9),,19:01:00 (9),,19:46:00 (9),,,,,,,,,,,
124,Auburn Station,05:18:00 (6),06:32:00 (4),05:43:00 (6),07:02:00 (4),06:08:00 (6),08:22:00 (4),06:28:00 (6),15:02:00 (4),06:48:00 (6),15:42:00 (4),07:08:00 (6),16:02:00 (4),07:28:00 (6),16:22:00 (4),07:48:00 (4),16:42:00 (4),08:18:00 (6),17:02:00 (4),10:53:00 (6),17:22:00 (4),16:33:00 (6),17:47:00 (4),16:57:00 (4),18:12:00 (4),17:42:00 (6),18:57:00 (4),,,,,,,,,,,
125,Auburn Station,05:18:00 (6),06:32:00 (4),05:43:00 (6),07:02:00 (4),06:08:00 (6),08:22:00 (4),06:28:00 (6),15:02:00 (4),06:48:00 (6),15:42:00 (4),07:08:00 (6),16:02:00 (4),07:28:00 (6),16:22:00 (4),07:48:00 (4),16:42:00 (4),08:18:00 (6),17:02:00 (4),10:53:00 (6),17:22:00 (4),16:33:00 (6),17:47:00 (4),16:57:00 (4),18:12:00 (4),17:42:00 (6),18:57:00 (4),,,,,,,,,,,
126,Edmonds Station,,,,,,,,,,,,,,,,,,,,,,,,,,,16:32:00 (2),06:41:00 (3),17:00:00 (2),07:11:00 (3),17:42:00 (2),07:41:00 (3),18:08:00 (2),08:11:00 (3),,,
127,Everett Station,,,,,,,,,,,,,,,,,,,,,,,,,,,17:04:00 (4),06:15:00 (1),17:32:00 (4),06:45:00 (1),18:14:00 (4),07:15:00 (1),18:40:00 (4),07:45:00 (1),,,
128,Kent Station,05:25:00 (7),06:25:00 (3),05:50:00 (7),06:55:00 (3),06:15:00 (7),08:15:00 (3),06:35:00 (7),14:55:00 (3),06:55:00 (7),15:35:00 (3),07:15:00 (7),15:55:00 (3),07:35:00 (7),16:15:00 (3),07:55:00 (5),16:35:00 (3),08:25:00 (7),16:55:00 (3),11:00:00 (7),17:15:00 (3),16:40:00 (7),17:40:00 (3),17:04:00 (5),18:05:00 (3),17:49:00 (7),18:50:00 (3),,,,,,,,,,,
129,Kent Station,05:25:00 (7),06:25:00 (3),05:50:00 (7),06:55:00 (3),06:15:00 (7),08:15:00 (3),06:35:00 (7),14:55:00 (3),06:55:00 (7),15:35:00 (3),07:15:00 (7),15:55:00 (3),07:35:00 (7),16:15:00 (3),07:55:00 (5),16:35:00 (3),08:25:00 (7),16:55:00 (3),11:00:00 (7),17:15:00 (3),16:40:00 (7),17:40:00 (3),17:04:00 (5),18:05:00 (3),17:49:00 (7),18:50:00 (3),,,,,,,,,,,
130,King Street Station,05:52:00 (9),06:05:00 (1),06:17:00 (9),06:35:00 (1),06:42:00 (9),07:55:00 (1),07:02:00 (9),14:35:00 (1),07:22:00 (9),15:15:00 (1),07:42:00 (9),15:35:00 (1),08:02:00 (9),15:55:00 (1),08:22:00 (7),16:15:00 (1),08:52:00 (9),16:35:00 (1),11:27:00 (9),16:55:00 (1),17:07:00 (9),17:20:00 (1),17:30:00 (7),17:45:00 (1),18:16:00 (9),18:30:00 (1),16:05:00 (1),07:14:00 (4),16:33:00 (1),07:44:00 (4),17:15:00 (1),08:14:00 (4),17:41:00 (1),08:44:00 (4),,,
131,King Street Station,05:52:00 (9),06:05:00 (1),06:17:00 (9),06:35:00 (1),06:42:00 (9),07:55:00 (1),07:02:00 (9),14:35:00 (1),07:22:00 (9),15:15:00 (1),07:42:00 (9),15:35:00 (1),08:02:00 (9),15:55:00 (1),08:22:00 (7),16:15:00 (1),08:52:00 (9),16:35:00 (1),11:27:00 (9),16:55:00 (1),17:07:00 (9),17:20:00 (1),17:30:00 (7),17:45:00 (1),18:16:00 (9),18:30:00 (1),16:05:00 (1),07:14:00 (4),16:33:00 (1),07:44:00 (4),17:15:00 (1),08:14:00 (4),17:41:00 (1),08:44:00 (4),,,
132,King Street Station,05:52:00 (9),06:05:00 (1),06:17:00 (9),06:35:00 (1),06:42:00 (9),07:55:00 (1),07:02:00 (9),14:35:00 (1),07:22:00 (9),15:15:00 (1),07:42:00 (9),15:35:00 (1),08:02:00 (9),15:55:00 (1),08:22:00 (7),16:15:00 (1),08:52:00 (9),16:35:00 (1),11:27:00 (9),16:55:00 (1),17:07:00 (9),17:20:00 (1),17:30:00 (7),17:45:00 (1),18:16:00 (9),18:30:00 (1),16:05:00 (1),07:14:00 (4),16:33:00 (1),07:44:00 (4),17:15:00 (1),08:14:00 (4),17:41:00 (1),08:44:00 (4),,,
133,Lakewood Station,04:36:00 (1),,05:01:00 (1),,05:26:00 (1),09:11:00 (9),05:46:00 (1),,06:06:00 (1),,06:26:00 (1),16:51:00 (9),06:46:00 (1),,,17:31:00 (9),,17:51:00 (9),10:11:00 (1),18:11:00 (9),,18:36:00 (9),,19:01:00 (9),,19:46:00 (9),,,,,,,,,,,
134,Mukilteo Station,,,,,,,,,,,,,,,,,,,,,,,,,,,16:47:00 (3),06:26:00 (2),17:15:00 (3),06:56:00 (2),17:57:00 (3),07:26:00 (2),18:23:00 (3),07:56:00 (2),,,
135,Mukilteo Station,,,,,,,,,,,,,,,,,,,,,,,,,,,16:47:00 (3),06:26:00 (2),17:15:00 (3),06:56:00 (2),17:57:00 (3),07:26:00 (2),18:23:00 (3),07:56:00 (2),,,
136,Puyallup Station,05:03:00 (4),06:47:00 (6),05:28:00 (4),07:17:00 (6),05:53:00 (4),08:37:00 (6),06:13:00 (4),15:17:00 (6),06:33:00 (4),15:57:00 (6),06:53:00 (4),16:17:00 (6),07:13:00 (4),16:37:00 (6),07:33:00 (2),16:57:00 (6),08:03:00 (4),17:17:00 (6),10:38:00 (4),17:37:00 (6),16:18:00 (4),18:02:00 (6),16:42:00 (2),18:27:00 (6),17:27:00 (4),19:12:00 (6),,,,,,,,,,,
137,Puyallup Station,05:03:00 (4),06:47:00 (6),05:28:00 (4),07:17:00 (6),05:53:00 (4),08:37:00 (6),06:13:00 (4),15:17:00 (6),06:33:00 (4),15:57:00 (6),06:53:00 (4),16:17:00 (6),07:13:00 (4),16:37:00 (6),07:33:00 (2),16:57:00 (6),08:03:00 (4),17:17:00 (6),10:38:00 (4),17:37:00 (6),16:18:00 (4),18:02:00 (6),16:42:00 (2),18:27:00 (6),17:27:00 (4),19:12:00 (6),,,,,,,,,,,
138,South Tacoma Station,04:41:00 (2),,05:06:00 (2),,05:31:00 (2),08:59:00 (8),05:51:00 (2),,06:11:00 (2),,06:31:00 (2),16:39:00 (8),06:51:00 (2),,,17:19:00 (8),,17:39:00 (8),10:16:00 (2),17:59:00 (8),,18:24:00 (8),,18:49:00 (8),,19:34:00 (8),,,,,,,,,,,
139,Sumner Station,05:08:00 (5),06:42:00 (5),05:33:00 (5),07:12:00 (5),05:58:00 (5),08:32:00 (5),06:18:00 (5),15:12:00 (5),06:38:00 (5),15:52:00 (5),06:58:00 (5),16:12:00 (5),07:18:00 (5),16:32:00 (5),07:38:00 (3),16:52:00 (5),08:08:00 (5),17:12:00 (5),10:43:00 (5),17:32:00 (5),16:23:00 (5),17:57:00 (5),16:47:00 (3),18:22:00 (5),17:32:00 (5),19:07:00 (5),,,,,,,,,,,
140,Sumner Station,05:08:00 (5),06:42:00 (5),05:33:00 (5),07:12:00 (5),05:58:00 (5),08:32:00 (5),06:18:00 (5),15:12:00 (5),06:38:00 (5),15:52:00 (5),06:58:00 (5),16:12:00 (5),07:18:00 (5),16:32:00 (5),07:38:00 (3),16:52:00 (5),08:08:00 (5),17:12:00 (5),10:43:00 (5),17:32:00 (5),16:23:00 (5),17:57:00 (5),16:47:00 (3),18:22:00 (5),17:32:00 (5),19:07:00 (5),,,,,,,,,,,
141,Tacoma Dome Station,04:50:00 (3),07:06:00 (7),05:15:00 (3),07:36:00 (7),05:40:00 (3),08:50:00 (7),06:00:00 (3),15:37:00 (7),06:20:00 (3),16:17:00 (7),06:40:00 (3),16:30:00 (7),07:00:00 (3),16:57:00 (7),07:20:00 (1),17:10:00 (7),07:50:00 (3),17:30:00 (7),10:25:00 (3),17:50:00 (7),16:06:00 (3),18:15:00 (7),16:30:00 (1),18:40:00 (7),17:15:00 (3),19:25:00 (7),,,,,,,,,,,
142,Tacoma Dome Station,04:50:00 (3),07:06:00 (7),05:15:00 (3),07:36:00 (7),05:40:00 (3),08:50:00 (7),06:00:00 (3),15:37:00 (7),06:20:00 (3),16:17:00 (7),06:40:00 (3),16:30:00 (7),07:00:00 (3),16:57:00 (7),07:20:00 (1),17:10:00 (7),07:50:00 (3),17:30:00 (7),10:25:00 (3),17:50:00 (7),16:06:00 (3),18:15:00 (7),16:30:00 (1),18:40:00 (7),17:15:00 (3),19:25:00 (7),,,,,,,,,,,
143,Tukwila Station,05:32:00 (8),06:18:00 (2),05:57:00 (8),06:48:00 (2),06:22:00 (8),08:08:00 (2),06:42:00 (8),14:48:00 (2),07:02:00 (8),15:28:00 (2),07:22:00 (8),15:48:00 (2),07:42:00 (8),16:08:00 (2),08:02:00 (6),16:28:00 (2),08:32:00 (8),16:48:00 (2),11:07:00 (8),17:08:00 (2),16:47:00 (8),17:33:00 (2),17:11:00 (6),17:58:00 (2),17:56:00 (8),18:43:00 (2),,,,,,,,,,,
144,Tukwila Station,05:32:00 (8),06:18:00 (2),05:57:00 (8),06:48:00 (2),06:22:00 (8),08:08:00 (2),06:42:00 (8),14:48:00 (2),07:02:00 (8),15:28:00 (2),07:22:00 (8),15:48:00 (2),07:42:00 (8),16:08:00 (2),08:02:00 (6),16:28:00 (2),08:32:00 (8),16:48:00 (2),11:07:00 (8),17:08:00 (2),16:47:00 (8),17:33:00 (2),17:11:00 (6),17:58:00 (2),17:56:00 (8),18:43:00 (2),,,,,,,,,,,
145,Tacoma Dome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:11:00 (12)
146,S 25th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:09:00 (11)
147,Union Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:06:00 (10)
148,Union Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:06:00 (10)
149,Union Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:06:00 (10)
150,Convention Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:03:00 (9)
151,Convention Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:03:00 (9)
152,Convention Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:03:00 (9)
153,Theater District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:02:00 (8)
154,Theater District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:02:00 (8)
155,Theater District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:02:00 (8)
156,Old City Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:59:00 (7)
157,Old City Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:59:00 (7)
158,Old City Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:59:00 (7)
159,S 4th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:58:00 (6)
160,S 4th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:58:00 (6)
161,S 4th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:58:00 (6)
162,Stadium District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:55:00 (5)
163,Stadium District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:55:00 (5)
164,Stadium District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:55:00 (5)
165,Tacoma General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:53:00 (4)
166,Tacoma General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:53:00 (4)
167,Tacoma General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:53:00 (4)
168,6th Ave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:52:00 (3)
169,6th Ave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:52:00 (3)
170,6th Ave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:52:00 (3)
171,Hilltop District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:50:00 (2)
172,Hilltop District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:50:00 (2)
173,Hilltop District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:50:00 (2)
174,St Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:48:00 (1)
175,St Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:48:00 (1)
176,St Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:48:00 (1)
