,stop_name,P301 (SunRail),P302 (SunRail),P303 (SunRail),P304 (SunRail),P305 (SunRail),P306 (SunRail),P307 (SunRail),P308 (SunRail),P309 (SunRail),P310 (SunRail),P311 (SunRail),P312 (SunRail),P313 (SunRail),P314 (SunRail),P315 (SunRail),P316 (SunRail),P317 (SunRail),P318 (SunRail),P319 (SunRail),P320 (SunRail),P321 (SunRail),P322 (SunRail),P323 (SunRail),P324 (SunRail),P325 (SunRail),P326 (SunRail),P327 (SunRail),P328 (SunRail),P329 (SunRail),P330 (SunRail),P331 (SunRail),P332 (SunRail),P333 (SunRail),P334 (SunRail),P335 (SunRail),P336 (SunRail),P337 (SunRail),P338 (SunRail),P339 (SunRail),P340 (SunRail)
0,Sanford,5:06:00 (1),7:10:00 (15),5:36:00 (3),7:40:00 (15),6:06:00 (3),8:10:00 (15),6:36:00 (3),8:40:00 (15),7:06:00 (3),9:10:00 (15),7:36:00 (3),9:40:00 (15),8:06:00 (3),10:10:00 (15),9:06:00 (3),12:10:00 (15),10:06:00 (3),13:35:00 (15),11:36:00 (3),14:35:00 (15),12:36:00 (3),15:40:00 (15),13:36:00 (3),16:40:00 (15),15:06:00 (3),17:10:00 (15),15:36:00 (3),17:40:00 (15),16:06:00 (3),18:10:00 (15),16:36:00 (3),18:45:00 (15),17:06:00 (3),19:15:00 (15),17:36:00 (3),19:45:00 (15),18:56:00 (3),20:45:00 (15),20:16:00 (3),23:15:00 (15)
1,Lake Mary,5:13:00 (2),7:03:00 (14),5:43:00 (4),7:33:00 (14),6:13:00 (4),8:03:00 (14),6:43:00 (4),8:33:00 (14),7:13:00 (4),9:03:00 (14),7:43:00 (4),9:33:00 (14),8:13:00 (4),10:03:00 (14),9:13:00 (4),12:03:00 (14),10:13:00 (4),13:28:00 (14),11:43:00 (4),14:28:00 (14),12:43:00 (4),15:33:00 (14),13:43:00 (4),16:33:00 (14),15:13:00 (4),17:03:00 (14),15:43:00 (4),17:33:00 (14),16:13:00 (4),18:03:00 (14),16:43:00 (4),18:38:00 (14),17:13:00 (4),19:08:00 (14),17:43:00 (4),19:38:00 (14),19:03:00 (4),20:38:00 (14),20:23:00 (4),23:08:00 (14)
2,Altamonte Springs,5:23:00 (4),6:53:00 (12),5:53:00 (6),7:23:00 (12),6:23:00 (6),7:53:00 (12),6:53:00 (6),8:23:00 (12),7:23:00 (6),8:53:00 (12),7:53:00 (6),9:23:00 (12),8:23:00 (6),9:53:00 (12),9:23:00 (6),11:53:00 (12),10:23:00 (6),13:18:00 (12),11:53:00 (6),14:18:00 (12),12:53:00 (6),15:23:00 (12),13:53:00 (6),16:23:00 (12),15:23:00 (6),16:53:00 (12),15:53:00 (6),17:23:00 (12),16:23:00 (6),17:53:00 (12),16:53:00 (6),18:28:00 (12),17:23:00 (6),18:58:00 (12),17:53:00 (6),19:28:00 (12),19:13:00 (6),20:28:00 (12),20:33:00 (6),22:58:00 (12)
3,Winter Park,5:36:00 (6),6:39:00 (10),6:06:00 (8),7:09:00 (10),6:36:00 (8),7:39:00 (10),7:06:00 (8),8:09:00 (10),7:36:00 (8),8:39:00 (10),8:06:00 (8),9:09:00 (10),8:36:00 (8),9:39:00 (10),9:36:00 (8),11:39:00 (10),10:36:00 (8),13:06:00 (10),12:06:00 (8),14:06:00 (10),13:06:00 (8),15:09:00 (10),14:06:00 (8),16:09:00 (10),15:36:00 (8),16:39:00 (10),16:06:00 (8),17:09:00 (10),16:36:00 (8),17:39:00 (10),17:06:00 (8),18:16:00 (10),17:36:00 (8),18:46:00 (10),18:06:00 (8),19:16:00 (10),19:26:00 (8),20:16:00 (10),20:46:00 (8),22:46:00 (10)
4,AdventHealth,5:43:00 (7),6:32:00 (9),6:13:00 (9),7:02:00 (9),6:43:00 (9),7:32:00 (9),7:13:00 (9),8:02:00 (9),7:43:00 (9),8:32:00 (9),8:13:00 (9),9:02:00 (9),8:43:00 (9),9:32:00 (9),9:43:00 (9),11:32:00 (9),10:43:00 (9),12:59:00 (9),12:13:00 (9),13:59:00 (9),13:13:00 (9),15:02:00 (9),14:13:00 (9),16:02:00 (9),15:43:00 (9),16:32:00 (9),16:13:00 (9),17:02:00 (9),16:43:00 (9),17:32:00 (9),17:13:00 (9),18:09:00 (9),17:43:00 (9),18:39:00 (9),18:13:00 (9),19:09:00 (9),19:43:00 (9),20:09:00 (9),20:53:00 (9),22:39:00 (9)
5,LYNX Central,5:48:00 (8),6:26:00 (8),6:18:00 (10),6:56:00 (8),6:48:00 (10),7:26:00 (8),7:18:00 (10),7:56:00 (8),7:48:00 (10),8:26:00 (8),8:18:00 (10),8:56:00 (8),8:48:00 (10),9:26:00 (8),9:48:00 (10),11:26:00 (8),10:48:00 (10),12:53:00 (8),12:18:00 (10),13:53:00 (8),13:18:00 (10),14:56:00 (8),14:18:00 (10),15:56:00 (8),15:48:00 (10),16:26:00 (8),16:18:00 (10),16:56:00 (8),16:48:00 (10),17:26:00 (8),17:18:00 (10),18:03:00 (8),17:48:00 (10),18:33:00 (8),18:18:00 (10),19:03:00 (8),19:48:00 (10),20:03:00 (8),21:03:00 (10),22:33:00 (8)
6,Orlando Health/Amtrak,5:54:00 (10),6:20:00 (6),6:24:00 (12),6:50:00 (6),6:54:00 (12),7:20:00 (6),7:24:00 (12),7:50:00 (6),7:54:00 (12),8:20:00 (6),8:24:00 (12),8:50:00 (6),8:54:00 (12),9:20:00 (6),9:54:00 (12),11:20:00 (6),10:54:00 (12),12:47:00 (6),12:24:00 (12),13:47:00 (6),13:24:00 (12),14:50:00 (6),14:24:00 (12),15:50:00 (6),15:54:00 (12),16:20:00 (6),16:24:00 (12),16:50:00 (6),16:54:00 (12),17:20:00 (6),17:24:00 (12),17:57:00 (6),17:54:00 (12),18:27:00 (6),18:24:00 (12),18:57:00 (6),19:54:00 (12),19:57:00 (6),21:09:00 (12),22:27:00 (6)
7,Sand Lake Road,6:03:00 (11),6:13:00 (5),6:33:00 (13),6:43:00 (5),7:03:00 (13),7:13:00 (5),7:33:00 (13),7:43:00 (5),8:03:00 (13),8:13:00 (5),8:33:00 (13),8:43:00 (5),9:03:00 (13),9:13:00 (5),10:03:00 (13),11:13:00 (5),11:03:00 (13),12:40:00 (5),12:33:00 (13),13:40:00 (5),13:33:00 (13),14:43:00 (5),14:33:00 (13),15:43:00 (5),16:03:00 (13),16:13:00 (5),16:33:00 (13),16:43:00 (5),17:03:00 (13),17:13:00 (5),17:33:00 (13),17:50:00 (5),18:03:00 (13),18:20:00 (5),18:33:00 (13),18:50:00 (5),20:03:00 (13),19:50:00 (5),21:18:00 (13),22:20:00 (5)
8,Church Street,5:51:00 (9),6:23:00 (7),6:21:00 (11),6:53:00 (7),6:51:00 (11),7:23:00 (7),7:21:00 (11),7:53:00 (7),7:51:00 (11),8:23:00 (7),8:21:00 (11),8:53:00 (7),8:51:00 (11),9:23:00 (7),9:51:00 (11),11:23:00 (7),10:51:00 (11),12:50:00 (7),12:21:00 (11),13:50:00 (7),13:21:00 (11),14:53:00 (7),14:21:00 (11),15:53:00 (7),15:51:00 (11),16:23:00 (7),16:21:00 (11),16:53:00 (7),16:51:00 (11),17:23:00 (7),17:21:00 (11),18:00:00 (7),17:51:00 (11),18:30:00 (7),18:21:00 (11),19:00:00 (7),19:51:00 (11),20:00:00 (7),21:06:00 (11),22:30:00 (7)
9,Longwood,5:19:00 (3),6:57:00 (13),5:49:00 (5),7:27:00 (13),6:19:00 (5),7:57:00 (13),6:49:00 (5),8:27:00 (13),7:19:00 (5),8:57:00 (13),7:49:00 (5),9:27:00 (13),8:19:00 (5),9:57:00 (13),9:19:00 (5),11:57:00 (13),10:19:00 (5),13:22:00 (13),11:49:00 (5),14:22:00 (13),12:49:00 (5),15:27:00 (13),13:49:00 (5),16:27:00 (13),15:19:00 (5),16:57:00 (13),15:49:00 (5),17:27:00 (13),16:19:00 (5),17:57:00 (13),16:49:00 (5),18:32:00 (13),17:19:00 (5),19:02:00 (13),17:49:00 (5),19:32:00 (13),19:09:00 (5),20:32:00 (13),20:29:00 (5),23:02:00 (13)
10,Maitland,5:29:00 (5),6:47:00 (11),5:59:00 (7),7:17:00 (11),6:29:00 (7),7:47:00 (11),6:59:00 (7),8:17:00 (11),7:29:00 (7),8:47:00 (11),7:59:00 (7),9:17:00 (11),8:29:00 (7),9:47:00 (11),9:29:00 (7),11:47:00 (11),10:29:00 (7),13:13:00 (11),11:59:00 (7),14:13:00 (11),12:59:00 (7),15:17:00 (11),13:59:00 (7),16:17:00 (11),15:29:00 (7),16:47:00 (11),15:59:00 (7),17:17:00 (11),16:29:00 (7),17:47:00 (11),16:59:00 (7),18:23:00 (11),17:29:00 (7),18:53:00 (11),17:59:00 (7),19:23:00 (11),19:19:00 (7),20:23:00 (11),20:39:00 (7),22:53:00 (11)
11,DeBary,,7:18:00 (16),5:30:00 (2),7:48:00 (16),6:00:00 (2),8:18:00 (16),6:30:00 (2),8:48:00 (16),7:00:00 (2),9:18:00 (16),7:30:00 (2),9:48:00 (16),8:00:00 (2),10:18:00 (16),9:00:00 (2),12:18:00 (16),10:00:00 (2),13:43:00 (16),11:30:00 (2),14:43:00 (16),12:30:00 (2),15:48:00 (16),13:30:00 (2),16:48:00 (16),15:00:00 (2),17:18:00 (16),15:30:00 (2),17:48:00 (16),16:00:00 (2),18:18:00 (16),16:30:00 (2),18:53:00 (16),17:00:00 (2),19:23:00 (16),17:30:00 (2),19:53:00 (16),18:50:00 (2),20:53:00 (16),20:10:00 (2),23:23:00 (16)
12,Meadow Woods,6:09:00 (12),6:06:00 (4),6:39:00 (14),6:36:00 (4),7:09:00 (14),7:06:00 (4),7:39:00 (14),7:36:00 (4),8:09:00 (14),8:06:00 (4),8:39:00 (14),8:36:00 (4),9:09:00 (14),9:06:00 (4),10:09:00 (14),11:06:00 (4),11:09:00 (14),12:34:00 (4),12:39:00 (14),13:34:00 (4),13:39:00 (14),14:36:00 (4),14:39:00 (14),15:36:00 (4),16:09:00 (14),16:06:00 (4),16:39:00 (14),16:36:00 (4),17:09:00 (14),17:06:00 (4),17:39:00 (14),17:44:00 (4),18:09:00 (14),18:14:00 (4),18:39:00 (14),18:44:00 (4),20:09:00 (14),19:44:00 (4),21:24:00 (14),22:14:00 (4)
13,Tupperware,6:14:00 (13),6:00:00 (3),6:44:00 (15),6:30:00 (3),7:14:00 (15),7:00:00 (3),7:44:00 (15),7:30:00 (3),8:14:00 (15),8:00:00 (3),8:44:00 (15),8:30:00 (3),9:14:00 (15),9:00:00 (3),10:14:00 (15),11:00:00 (3),11:14:00 (15),12:29:00 (3),12:44:00 (15),13:29:00 (3),13:44:00 (15),14:30:00 (3),14:44:00 (15),15:30:00 (3),16:14:00 (15),16:00:00 (3),16:44:00 (15),16:30:00 (3),17:14:00 (15),17:00:00 (3),17:44:00 (15),17:39:00 (3),18:14:00 (15),18:09:00 (3),18:44:00 (15),18:39:00 (3),20:14:00 (15),19:39:00 (3),21:29:00 (15),22:09:00 (3)
14,Kissimmee,6:20:00 (14),5:53:00 (2),6:50:00 (16),6:23:00 (2),7:20:00 (16),6:53:00 (2),7:50:00 (16),7:23:00 (2),8:20:00 (16),7:53:00 (2),8:50:00 (16),8:23:00 (2),9:20:00 (16),8:53:00 (2),10:20:00 (16),10:53:00 (2),11:20:00 (16),12:23:00 (2),12:50:00 (16),13:23:00 (2),13:50:00 (16),14:23:00 (2),14:50:00 (16),15:23:00 (2),16:20:00 (16),15:53:00 (2),16:50:00 (16),16:23:00 (2),17:20:00 (16),16:53:00 (2),17:50:00 (16),17:33:00 (2),18:20:00 (16),18:03:00 (2),18:50:00 (16),18:33:00 (2),20:20:00 (16),19:33:00 (2),21:35:00 (16),22:03:00 (2)
15,Poinciana,6:28:00 (15),5:45:00 (1),6:58:00 (17),6:15:00 (1),7:28:00 (17),6:45:00 (1),7:58:00 (17),7:15:00 (1),8:28:00 (17),7:45:00 (1),8:58:00 (17),8:15:00 (1),9:28:00 (17),8:45:00 (1),10:28:00 (17),10:45:00 (1),11:28:00 (17),12:15:00 (1),12:58:00 (17),13:15:00 (1),13:58:00 (17),14:15:00 (1),14:58:00 (17),15:15:00 (1),16:28:00 (17),15:45:00 (1),16:58:00 (17),16:15:00 (1),17:28:00 (17),16:45:00 (1),17:58:00 (17),17:25:00 (1),18:28:00 (17),17:55:00 (1),18:58:00 (17),18:25:00 (1),20:28:00 (17),19:25:00 (1),21:43:00 (17),21:55:00 (1)
16,DeLand,,7:30:00 (17),5:15:00 (1),8:00:00 (17),5:45:00 (1),8:30:00 (17),6:15:00 (1),9:00:00 (17),6:45:00 (1),9:30:00 (17),7:10:00 (1),10:00:00 (17),7:40:00 (1),10:30:00 (17),8:40:00 (1),12:31:00 (17),9:40:00 (1),13:56:00 (17),11:15:00 (1),14:56:00 (17),12:10:00 (1),16:01:00 (17),13:10:00 (1),17:00:00 (17),14:45:00 (1),17:31:00 (17),15:10:00 (1),18:01:00 (17),15:40:00 (1),18:31:00 (17),16:15:00 (1),19:06:00 (17),16:40:00 (1),19:36:00 (17),17:10:00 (1),20:06:00 (17),18:30:00 (1),21:06:00 (17),19:55:00 (1),23:36:00 (17)
